mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8950223992035837,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 65)"
0.8641944582711133,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 110)"
0.8862950058072009,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 110)"
0.8895091137500296,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 110)"
0.4335205859347223,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 110)"
0.8862950058072009,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 110)"
0.8895091137500296,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 110)"
0.8641944582711133,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 110)"
0.8862950058072009,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 110)"
0.8895091137500296,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 110)"
0.8654483396145916,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 155)"
0.8796096138803954,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 155)"
0.8932328332029675,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 155)"
0.5673327170589489,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 155)"
0.8796096138803954,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 155)"
0.8932328332029675,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 155)"
0.8654483396145916,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 155)"
0.8796096138803954,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 155)"
0.8932328332029675,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 155)"
0.8645310388963947,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 200)"
0.8809748986702696,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 200)"
0.8969020360757544,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 200)"
0.5382896015549077,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 200)"
0.8809748986702696,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 200)"
0.8969020360757544,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 200)"
0.8645310388963947,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 200)"
0.8809748986702696,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 200)"
0.8969020360757544,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 200), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 200)"
0.8804119557230556,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 110, 20)"
0.8760364075943967,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 110, 20)"
0.8943350162364597,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 110, 20)"
0.5931569840479747,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 110, 20)"
0.8760364075943967,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 110, 20)"
0.8943350162364597,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 110, 20)"
0.8804119557230556,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 110, 20)"
0.8760364075943967,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 110, 20)"
0.8943350162364597,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 110, 20)"
0.8793239944061249,"{'activation': 'relu', 'hidden_layer_sizes': (20, 110, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 110, 65)"
