molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL424966,O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccccc1,1,90.0
CHEMBL192504,OCC1OC(n2c(Nc3ccccc3)nc3c(Nc4ccccc4)ncnc32)C(O)C1O,1,90.0
CHEMBL302938,COc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)cc1,1,92.0
CHEMBL99119,[N-]=[N+]=NCC1OC(n2cc(Br)c3c(Cl)ncnc32)C(O)C1O,1,100.0
CHEMBL319611,CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)CC1O,1,100.0
CHEMBL318281,CC1OC(n2cc(I)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,100.0
CHEMBL97553,C=CC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1,100.0
CHEMBL198742,CCCNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,100.0
CHEMBL362855,CN(C)c1ccc(C#Cc2ncnc3[nH]nc(-c4ccccc4)c23)cn1,1,100.0
CHEMBL387628,CN(C)c1ccc(C#Cc2c(N)ncnc2-c2ccc(N(C)C)cc2)cc1,1,100.0
CHEMBL226486,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1cc2ccccc2s1,1,100.0
CHEMBL4570382,CC1C(O)C(O)C2(n3cc(-c4ccccc4)c4c(Nc5ccc(F)cc5)ncnc43)CC12,1,110.0
CHEMBL225886,Nc1ncnc(C#Cc2cncc(N3CCOCC3)c2)c1-c1ccc(Cl)cc1,1,110.0
CHEMBL426992,CN(C)c1ccc(-c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,1,114.0
CHEMBL4439949,OCC1C(O)C(O)C2(n3cc(-c4ccccc4)c4c(Nc5ccccc5)ncnc43)CC12,1,114.0
CHEMBL4560021,CC1C(O)C(O)C2(n3cc(-c4ccc(F)cc4)c4c(Nc5ccccc5)ncnc43)CC12,1,115.0
CHEMBL193122,Cc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(C=Cc3ccccn3)cc2)cc1,1,115.0
CHEMBL359631,c1ccc(CCNc2ncnc3nc(-c4ccc(N5CCOCC5)nc4)cnc23)cc1,1,120.0
