canonical_smiles,bioactivity_class
CC1OC(n2cc(-c3ccccc3)c3c(N)ncnc32)C(O)C1O,0
CCOC1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1
CCC1(c2ccc(CSc3ccccc3F)cc2)Oc2ccccc2-n2cccc2C1=O,0
Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12,1
CCOc1ccc(-c2cn(C3OCC(O)C3O)c3ncnc(Nc4ccccc4OC)c23)cc1,1
COCCCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
O=C(Cc1ccccc1)Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1,1
OCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
CN(C)c1ccc(C#Cc2ncnc(N3CCOCC3)c2-c2ccc(Cl)cc2)cc1,1
Nc1ncnc2nc(-c3ccc(N4CC(O)C(O)C4)nc3)cc(-c3cccc(Br)c3)c12,1
OCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
COc1ccc(Nc2ncnc3c2c(-c2ccco2)cn3C2OC(C)C(O)C2O)cc1,1
CN(C)c1ccc(C#Cc2ncnc(NCCc3c[nH]c4ccccc34)c2-c2ccc(Cl)cc2)cc1,0
Nc1ncnc2c1c(-c1ccc(-c3ccc4ccccc4c3)cc1)cn2C1OC(CO)C(O)C1O,0
Cc1ncnc2c1c1c(ccn1C)n2C1OC(CO)C(O)C1O,0
Nc1ncnc2nc(-c3ccc(N4CCC(COC5CCOCC5)CC4)nn3)cc(-c3cccc(Br)c3)c12,1
O=C1c2cccn2-c2ccccc2OC1c1ccc(CSc2ccccc2Cl)cc1,0
CCC1(c2ccc(CSc3cccc(C)c3)cc2)Oc2ccccc2-n2cccc2C1=O,0
CCN(CC)CCc1cccc(OCc2ccc(C3(CC)Oc4ccccc4-n4cccc4C3=O)cc2)c1,0
COc1ncnc2c1c1occc1n2C1OC(CO)C(O)C1O,0
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2cccc(N)c2)cc1,1
CSc1ccc(-c2cn(C3OC(CO)C(O)C3O)c3ncnc(N)c23)cc1,0
CC1OC(n2cc(-c3ccccc3)c3c(NCC(N)=O)ncnc32)C(O)C1O,1
[N-]=[N+]=NCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
C#Cc1ncnc(N)c1-c1ccc2c(c1)OCO2,0
COCCNc1ncnc2oc(-c3ccccc3)nc12,1
CCC1(c2ccc(CSc3cccc(Cl)c3Cl)cc2)Oc2ccccc2-n2cccc2C1=O,0
COCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,0
COCCN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cc(Br)cs3)c2-c2ccc(OC)c(OC)c2)cc1,0
CN(C)c1ccc(-c2nc3ncnc(N)c3cc2CCCc2ccccc2)cc1,0
O=C1C(c2cccc3ccccc23)Oc2cc3c(cc2N1Cc1ccc(F)cc1)OCO3,0
CN(C)c1ccc(C#Cc2ncnc(N)c2Cc2ccccc2)cc1,0
Nc1ncnc2nc(-c3ccc(N4CCOCC4)cc3)cnc12,0
C#Cc1nc2c(N3CCc4ccccc43)ncnc2n1C1OC(CO)C(O)C1O,0
Nc1ncnc2c1c(Br)cn2C1OC(CO)C(O)C1O,1
