mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8775379838346489,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 20)"
0.8913283083268151,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 20)"
0.9122366019578564,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 20)"
0.8815129536135011,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 65)"
0.8864597406907013,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 65)"
0.9124902225698641,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 65)"
0.46351774159141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 65)"
0.8864597406907013,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 65)"
0.9124902225698641,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 65)"
0.8815129536135011,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 65)"
